FTTB-Account (WoWi): Accountname  ↑,Cluster  ↓,Ausbauzustand,Postleitzahl,Adresse,Private Wohneinheiten (U),Private Wohneinheiten (S),Private Wohneinheiten (O),Gewerbeeinheiten (U),Gewerbeeinheiten (O),Gewerbeeinheiten (S),FTTB-Opportunity (WoWi),Cluster Name,Bezirk,Quartier
"""LAREN"" Hausverwaltung GmbH",V_Polygon 6.1-3 (Ausdehnung),,14059,Schloßstraße 32,20,30,,8,,,"""LAREN"" Hausverwaltung GmbH - V_Polygon 6.3 (A1) - verloren",V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
1 Berlin x GmbH & Co. KG,Polygon 6.0,,14057,Leonhardtstraße 21,17,16,12,2,0,,1 Berlin x GmbH & Co. KG - Polygon_6.0 - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
ABAKUS Immobilienverwaltungsgesellschaft mbH,V_Polygon 76.1,,10435,Swinemünder Straße 106,22,22,,1,,1,ABAKUS Immobilienverwaltungsgesellschaft mbH - V_Polygon 76.1 - 48 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
ABAKUS Immobilienverwaltungsgesellschaft mbH,V_Polygon 76.1,,10435,Arkonaplatz 4,8,,,1,,1,ABAKUS Immobilienverwaltungsgesellschaft mbH - V_Polygon 76.1 - 48 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
ABAKUS Immobilienverwaltungsgesellschaft mbH,V_Polygon 76.1,,10435,Swinemünder Straße 11,18,18,,2,,,ABAKUS Immobilienverwaltungsgesellschaft mbH - V_Polygon 76.1 - 48 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
acant Immobilienverwaltungsgesellschaft mbH,V_Polygon 80.1-2 (Ausdehnung),,10559,Stephanstraße 52,36,45,51,2,0,,ACANT IMMOBILIENVERWALTUNGSGESELLSCHAFT MBH - V_Polygon 80.1 - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
adiuvare Grundbesitzbetreuung GmbH,V_Polygon 2.1,ABZ III,10717,Helmstedter Straße 21,18,24,,3,,,adiuvare Grundbesitzbetreuung GmbH - Cluster 02 - verloren,V_Polygon 2.1,Charlottenburg-Wilmersdorf,Wilmersdorf
Admina GmbH,V_Polygon 6.1-3 (Ausdehnung),,14057,Witzlebenstraße 26,27,34,34,1,0,,Admina GmbH - V_Polygon 6.1 (A1) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,V_Polygon 80.1,,10559,Stendaler Straße 18B,12,24,,0,,,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,V_Polygon 80.1,,10559,Stendaler Straße 18A,21,24,,2,,,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,V_Polygon 80.1,,10559,Stendaler Straße 16,14,18,,0,,,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,V_Polygon 2.5,ABZ IV,10823,Eisenacher Straße 50,,22,0,,0,,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - Cluster 02 - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,V_Polygon 2.5,ABZ IV,10823,Wartburgstraße 48,16,20,0,2,0,2,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - Cluster 02 - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,Cluster 83,ABZ III,10587,Lohmeyerstraße 24A,15,15,0,0,0,,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
AGeWo Allgemeine Wohn-und Gewerbeimmobilien Verwaltungsgesellschaft,Cluster 83,ABZ III,10587,Lohmeyerstraße 24,13,12,0,1,0,,AGeWo Allg. Gewerbe- u. Wohnimmobilien Verwaltungsges. mbH - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Albert Krüdewagen Eigentümer,V_Polygon 79.1,,13347,Ravenéstraße 1,5,5,,1,,1,Albert Krüdewagen Eigentümer - V_Polygon 79.1 - 6 (A1) - verloren,V_Polygon 79.1,Mitte,Gesundbrunnen
Alep e. V.,V_Polygon 139.3,,12045,Wildenbruchstraße 13,17,18,,0,,,ALep e.V. V_Polygon 139.2 (S1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Alep e. V.,V_Polygon 139.3,,12045,Wildenbruchstraße 12,14,12,,1,,,ALep e.V. V_Polygon 139.2 (S1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Alep e. V.,V_Polygon 139.3,,12045,Wildenbruchstraße 11,17,12,,2,,,ALep e.V. V_Polygon 139.2 (S1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
ALMA Real Estate Management GmbH,Cluster 22,,12161,Stubenrauchstraße 29,1,9,7,0,0,,SURF Immobilienmanagement - Cluster 22 - 45 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
ALMA Real Estate Management GmbH,Cluster 22,,12161,Stubenrauchstraße 28,8,9,7,2,0,,SURF Immobilienmanagement - Cluster 22 - 45 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
ALMA Real Estate Management GmbH,Cluster 22,,12161,Eschenstraße 4,9,10,8,1,0,,SURF Immobilienmanagement - Cluster 22 - 45 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
ALP GmbH Immobilienverwaltung,V_Polygon 22.4,ABZ IV,12159,Rheinstraße 61,0,,,2,,,ALP GMBH IMMOBILIENVERWALTUNG - 0064 - 2 - verloren,V_Polygon 22.4,Tempelhof-Schöneberg,Friedenau
ALP GmbH Immobilienverwaltung,Cluster 22,,12159,Handjerystraße 17,19,18,18,1,,0,ALP GMBH IMMOBILIENVERWALTUNG - 0022 - 19 - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
