pincode,street_name,house_number,results
14059 Berlin,Schloßstraße,32,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10551 Berlin,Bredowstraße,16,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
12047 Berlin,Sanderstraße,8,18.02.2025 ES: Laut check24 von . Note: ()
14057 Berlin,Leonhardtstraße,21,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10435 Berlin,Swinemünder Straße,106,"18.02.2025 ES: Laut check24 von vodafone, telekom. Note: (verfügbar ab April , verfügbar ab April )"
10435 Berlin,Arkonaplatz,4,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab Mai , verfügbar ab Mai , verfügbar ab Mai )"
10435 Berlin,Swinemünder Straße,11,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab Mai , verfügbar ab Mai , verfügbar ab Mai )"
10559 Berlin,Stephanstraße,52,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10717 Berlin,Helmstedter Straße,21,18.02.2025 ES: Laut check24 von . Note: ()
14057 Berlin,Witzlebenstraße,26,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10559 Berlin,Stendaler Straße,18B,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10559 Berlin,Stendaler Straße,18A,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10559 Berlin,Stendaler Straße,16,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10823 Berlin,Eisenacher Straße,50,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10823 Berlin,Wartburgstraße,48,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10587 Berlin,Lohmeyerstraße,24A,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10587 Berlin,Lohmeyerstraße,24,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
13347 Berlin,Ravenéstraße,1,18.02.2025 ES: Laut check24 von . Note: ()
12045 Berlin,Wildenbruchstraße,13,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab April , verfügbar ab April , verfügbar ab April )"
12045 Berlin,Wildenbruchstraße,12,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
12045 Berlin,Wildenbruchstraße,11,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
12161 Berlin,Stubenrauchstraße,29,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
12161 Berlin,Stubenrauchstraße,28,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
12161 Berlin,Eschenstraße,4,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
12159 Berlin,Rheinstraße,61,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
