pincode,street_name,house_number,results
10779 Berlin,Treuchtlinger Straße,8,24.02.2025 ES: Laut check24 in Treuchtlinger Straße 8 1000 Mbit/s Tarif von pyur.() buchbar (Kabel oder GF?)
10779 Berlin,Prager Straße,2A,24.02.2025 ES: Laut check24 in Prager Straße 2A kein GF buchbar
12163 Berlin,Markelstraße,41A,24.02.2025 ES: Laut check24 in Markelstraße 41A GF von telekom.(verfügbar ab September )
10247 Berlin,Rigaer Straße,92,"24.02.2025 ES: Laut check24 in Rigaer Straße 92 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12163 Berlin,Markelstraße,41A,24.02.2025 ES: Laut check24 in Markelstraße 41A GF von telekom.(verfügbar ab September )
10243 Berlin,Helsingforser Straße,29,24.02.2025 ES: Laut check24 in Helsingforser Straße 29 1000 Mbit/s Tarif von pyur.() buchbar (Kabel oder GF?)
10243 Berlin,Helsingforser Straße,27,24.02.2025 ES: Laut check24 in Helsingforser Straße 27 1000 Mbit/s Tarif von pyur.() buchbar (Kabel oder GF?)
10243 Berlin,Helsingforser Straße,25,24.02.2025 ES: Laut check24 in Helsingforser Straße 25 1000 Mbit/s Tarif von pyur.() buchbar (Kabel oder GF?)
10243 Berlin,Helsingforser Straße,23,24.02.2025 ES: Laut check24 in Helsingforser Straße 23 1000 Mbit/s Tarif von pyur.() buchbar (Kabel oder GF?)
10243 Berlin,Marchlewskistraße,81,24.02.2025 ES: Laut check24 in Marchlewskistraße 81 1000 Mbit/s Tarif von pyur.() buchbar (Kabel oder GF?)
10243 Berlin,Marchlewskistraße,83,24.02.2025 ES: Laut check24 in Marchlewskistraße 83 1000 Mbit/s Tarif von pyur.() buchbar (Kabel oder GF?)
10243 Berlin,Marchlewskistraße,87,24.02.2025 ES: Laut check24 in Marchlewskistraße 87 1000 Mbit/s Tarif von pyur.() buchbar (Kabel oder GF?)
10247 Berlin,Rigaer Straße,92A,"24.02.2025 ES: Laut check24 in Rigaer Straße 92A GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Rigaer Straße,92,"24.02.2025 ES: Laut check24 in Rigaer Straße 92 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Rigaer Straße,91,"24.02.2025 ES: Laut check24 in Rigaer Straße 91 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Zellestraße,15,"24.02.2025 ES: Laut check24 in Zellestraße 15 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Dolziger Straße,48,"24.02.2025 ES: Laut check24 in Dolziger Straße 48 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Proskauer Straße,18,"24.02.2025 ES: Laut check24 in Proskauer Straße 18 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
10245 Berlin,Seumestraße,30,24.02.2025 ES: Laut check24 in Seumestraße 30 kein GF buchbar
10245 Berlin,Wühlischstraße,42,24.02.2025 ES: Laut check24 in Wühlischstraße 42 1000 Mbit/s Tarif von pyur.() buchbar (Kabel oder GF?)
10559 Berlin,Birkenstraße,7,"24.02.2025 ES: Laut check24 in Birkenstraße 7 GF von vodafone, 1und1, telekom.(verfügbar ab April , verfügbar ab April , verfügbar ab April )"
10247 Berlin,Voigtstraße,13,"24.02.2025 ES: Laut check24 in Voigtstraße 13 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
12163 Berlin,Markelstraße,58,24.02.2025 ES: Laut check24 in Markelstraße 58 GF von telekom.(verfügbar ab September )
12053 Berlin,Erlanger Straße,8,24.02.2025 ES: Laut check24 in Erlanger Straße 8 kein GF buchbar
10585 Berlin,Otto-Suhr-Allee,65A,"24.02.2025 ES: Laut check24 in Otto-Suhr-Allee 65A GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10559 Berlin,Quitzowstraße,116,"24.02.2025 ES: Laut check24 in Quitzowstraße 116 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
13587 Berlin,Chamissostraße,1,"24.02.2025 ES: Laut check24 in Chamissostraße 1 GF von 1und1, telekom.(verfügbar ab Juni , verfügbar ab Juni )"
13587 Berlin,Streitstraße,25,"24.02.2025 ES: Laut check24 in Streitstraße 25 GF von 1und1, telekom.(verfügbar ab Juni , verfügbar ab Juni )"
14057 Berlin,Holtzendorffstraße,18,"24.02.2025 ES: Laut check24 in Holtzendorffstraße 18 GF von vodafone, 1und1, telekom.(verfügbar ab März , verfügbar ab März , verfügbar ab März )"
14057 Berlin,Leonhardtstraße,14,24.02.2025 ES: Laut check24 in Leonhardtstraße 14 kein GF buchbar
10247 Berlin,Voigtstraße,12,24.02.2025 ES: Laut check24 in Voigtstraße 12 kein GF buchbar
10247 Berlin,Bänschstraße,75,"24.02.2025 ES: Laut check24 in Bänschstraße 75 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
14057 Berlin,Steifensandstraße,9,"24.02.2025 ES: Laut check24 in Steifensandstraße 9 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12159 Berlin,Sponholzstraße,14A,"24.02.2025 ES: Laut check24 in Sponholzstraße 14A GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12159 Berlin,Sponholzstraße,14,"24.02.2025 ES: Laut check24 in Sponholzstraße 14 GF von 1und1, telekom.(verfügbar ab Juli , verfügbar ab Juli )"
12161 Berlin,Schwalbacher Straße,14,"24.02.2025 ES: Laut check24 in Schwalbacher Straße 14 GF von vodafone, 1und1, telekom.(verfügbar ab April , verfügbar ab April , verfügbar ab April )"
